Date,Station,Daily_MAX_AQI,Daily_MEDIAN_AQI
01-06-2018,Sirifort,500,210.5
02-06-2018,Sirifort,241,175
03-06-2018,Sirifort,220,130.5
04-06-2018,Sirifort,232,166
05-06-2018,Sirifort,175,146.5
06-06-2018,Sirifort,241,147
07-06-2018,Sirifort,330,154.5
08-06-2018,Sirifort,306,173
09-06-2018,Sirifort,500,115.5
10-06-2018,Sirifort,246,133.5
11-06-2018,Sirifort,308,196
12-06-2018,Sirifort,500,327
13-06-2018,Sirifort,500,500
14-06-2018,Sirifort,500,500
15-06-2018,Sirifort,500,484.5
16-06-2018,Sirifort,500,443
17-06-2018,Sirifort,434,215
18-06-2018,Sirifort,275,160.5
19-06-2018,Sirifort,205,190.5
20-06-2018,Sirifort,319,193
21-06-2018,Sirifort,455,213
22-06-2018,Sirifort,462,268.5
23-06-2018,Sirifort,415,246.5
24-06-2018,Sirifort,394,195.5
25-06-2018,Sirifort,500,348.5
26-06-2018,Sirifort,415,175
27-06-2018,Sirifort,196,101.5
28-06-2018,Sirifort,500,78.5
29-06-2018,Sirifort,500,50.5
30-06-2018,Sirifort,500,500
01-07-2018,Sirifort,500,146.5
02-07-2018,Sirifort,500,321.5
03-07-2018,Sirifort,500,127
04-07-2018,Sirifort,238,95.5
05-07-2018,Sirifort,249,136.5
06-07-2018,Sirifort,237,160
07-07-2018,Sirifort,223,156.5
08-07-2018,Sirifort,278,182.5
09-07-2018,Sirifort,273,159
10-07-2018,Sirifort,160,106.5
11-07-2018,Sirifort,143,106
12-07-2018,Sirifort,163,126.5
13-07-2018,Sirifort,135,57.5
14-07-2018,Sirifort,143,64
15-07-2018,Sirifort,128,65
16-07-2018,Sirifort,110,78
17-07-2018,Sirifort,259,69
18-07-2018,Sirifort,169,115
19-07-2018,Sirifort,132,95
20-07-2018,Sirifort,132,64
21-07-2018,Sirifort,180,106.5
22-07-2018,Sirifort,80,45
23-07-2018,Sirifort,114,63.5
24-07-2018,Sirifort,0,#NUM!
25-07-2018,Sirifort,191,178
26-07-2018,Sirifort,179,120
27-07-2018,Sirifort,180,138.5
28-07-2018,Sirifort,95,80
29-07-2018,Sirifort,209,90
30-07-2018,Sirifort,500,125.5
31-07-2018,Sirifort,223,159
01-08-2018,Sirifort,500,231
02-08-2018,Sirifort,424,289
03-08-2018,Sirifort,351,242
04-08-2018,Sirifort,396,279
05-08-2018,Sirifort,321,193
06-08-2018,Sirifort,199,158
07-08-2018,Sirifort,175,131
08-08-2018,Sirifort,500,100
09-08-2018,Sirifort,263,126
10-08-2018,Sirifort,500,156
11-08-2018,Sirifort,0,#NUM!
12-08-2018,Sirifort,0,#NUM!
13-08-2018,Sirifort,176,132
14-08-2018,Sirifort,207,160.5
15-08-2018,Sirifort,214,116.5
16-08-2018,Sirifort,177,114
17-08-2018,Sirifort,197,103
18-08-2018,Sirifort,150,105.5
19-08-2018,Sirifort,0,#NUM!
20-08-2018,Sirifort,161,137
21-08-2018,Sirifort,158,158
22-08-2018,Sirifort,0,#NUM!
23-08-2018,Sirifort,345,85.5
24-08-2018,Sirifort,156,87
25-08-2018,Sirifort,168,103
26-08-2018,Sirifort,149,104
27-08-2018,Sirifort,113,73.5
28-08-2018,Sirifort,130,63
29-08-2018,Sirifort,500,90
30-08-2018,Sirifort,378,109.5
31-08-2018,Sirifort,253,150.5
01-09-2018,Sirifort,277,130
02-09-2018,Sirifort,134,113
03-09-2018,Sirifort,180,126
04-09-2018,Sirifort,192,142.5
05-09-2018,Sirifort,163,124
06-09-2018,Sirifort,370,150.5
07-09-2018,Sirifort,237,128.5
08-09-2018,Sirifort,141,111
09-09-2018,Sirifort,117,96.5
10-09-2018,Sirifort,135,97
11-09-2018,Sirifort,156,106.5
12-09-2018,Sirifort,200,117
13-09-2018,Sirifort,184,140
14-09-2018,Sirifort,254,124
15-09-2018,Sirifort,294,133
16-09-2018,Sirifort,169,130.5
17-09-2018,Sirifort,204,160.5
